model,iou,f1,precision,recall,params_m,ms_per_tile,best_epoch
linknet,0.1593743350695247,0.2749315962222702,0.7824804013658928,0.16676259124040257,21.771937,114.00544445817643,23.0
deeplabv3plus,0.13386567131092306,0.23612259511710076,0.5586278098209833,0.14969893092237618,22.437457,125.50504168094193,24.0
unetpp,0.12489499122676621,0.2220562437457329,0.8290992582552622,0.1281952997816351,26.078609,196.50089279722772,29.0
ensemble,0.12007432183389263,0.21440418237744055,0.8579683274888409,0.12250951781472232,94.724372,450.792726232202,
unet,0.11701492441961148,0.20951360543394654,0.827528507784545,0.11994001771310703,24.436369,120.28283177159769,26.0
