model,iou,f1,precision,recall,params_m,ms_per_tile,best_epoch
ensemble,0.6560811132914817,0.7923296348864346,0.8138044845497379,0.7719591074915083,94.724372,488.3032975013024,
unetpp,0.6537622525107681,0.7906362721647832,0.808080189347679,0.7739296557489753,26.078609,183.9872877073396,29.0
unet,0.6504198060025083,0.7881870568920133,0.8071153671206404,0.7701263045112081,24.436369,108.7447667067824,26.0
linknet,0.6486087917646622,0.7868558675735469,0.8032854222821008,0.7710850042840662,21.771937,103.22659410316658,23.0
deeplabv3plus,0.6418348729002237,0.7818506507145109,0.7981218678721521,0.766229713145906,22.437457,117.1586545957189,24.0
